"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","zfs_jbod_00",,,,"User:","root"
"Cmdline:","dstat -tcmdD total --output dstat.output",,,,"Date:","27 Mar 2019 03:58:56 EDT"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",
27-03 03:59:09,0.125,0.062,99.812,0.0,0.0,0.0,8137494528.0,0.0,66281967616.0,1412128768.0,0.0,0.0
27-03 03:59:10,0.125,0.0,99.875,0.0,0.0,0.0,8137494528.0,0.0,66281967616.0,1412128768.0,0.0,64000.0
27-03 03:59:11,0.188,0.0,99.812,0.0,0.0,0.0,8137494528.0,0.0,66281967616.0,1412128768.0,0.0,0.0
27-03 03:59:12,0.125,0.062,99.812,0.0,0.0,0.0,8137494528.0,0.0,66281967616.0,1412128768.0,0.0,0.0
27-03 03:59:13,0.125,2.625,96.062,1.188,0.0,0.0,7728058368.0,0.0,66281984000.0,1821548544.0,1990656.0,0.0
27-03 03:59:14,0.125,6.375,93.500,0.0,0.0,0.0,7729528832.0,0.0,66281984000.0,1820078080.0,0.0,0.0
27-03 03:59:15,0.188,6.821,92.553,0.375,0.0,0.063,3181985792.0,0.0,66281984000.0,6367621120.0,2154496.0,2367488.0
27-03 03:59:16,0.125,6.254,93.621,0.0,0.0,0.0,3181150208.0,0.0,66281984000.0,6368456704.0,0.0,0.0
27-03 03:59:17,0.125,6.391,92.920,0.501,0.0,0.063,3179929600.0,0.0,66281984000.0,6369677312.0,2097152.0,2367488.0
27-03 03:59:18,0.125,6.884,92.365,0.563,0.0,0.063,3445211136.0,0.0,66281984000.0,6104395776.0,262144.0,2392064.0
27-03 03:59:19,0.189,24.512,71.267,3.529,0.0,0.504,4110016512.0,0.0,66281984000.0,5439590400.0,0.0,546869248.0
27-03 03:59:20,0.191,30.813,65.184,3.367,0.0,0.445,4872503296.0,0.0,66528313344.0,4430774272.0,0.0,660951040.0
27-03 03:59:21,0.127,17.099,76.947,5.446,0.0,0.380,6271807488.0,0.0,67219189760.0,2340593664.0,0.0,376205312.0
27-03 03:59:22,0.189,18.624,76.389,4.545,0.0,0.253,7205863424.0,0.0,67646263296.0,979464192.0,0.0,429903872.0
27-03 03:59:23,0.127,16.497,77.602,5.330,0.0,0.444,7360462848.0,0.0,67648065536.0,823062528.0,0.0,470462464.0
27-03 03:59:24,0.253,26.439,68.754,4.048,0.0,0.506,6924611584.0,0.0,68128210944.0,778768384.0,0.0,492605440.0
27-03 03:59:25,0.126,20.657,73.784,4.927,0.0,0.505,7318700032.0,0.0,68100841472.0,412049408.0,0.0,579637248.0
27-03 03:59:26,0.190,27.711,67.026,4.502,0.0,0.571,7405502464.0,0.0,67898470400.0,527618048.0,0.0,776810496.0
27-03 03:59:27,0.191,24.538,70.300,4.525,0.0,0.446,7123181568.0,0.0,68077985792.0,630423552.0,16384.0,580857856.0
27-03 03:59:28,0.127,25.806,68.691,4.807,0.0,0.569,8062857216.0,0.0,67489525760.0,279207936.0,0.0,525058048.0
27-03 03:59:29,0.188,27.198,68.467,3.643,0.0,0.503,8038051840.0,0.0,67334623232.0,458915840.0,36864.0,471251968.0
27-03 03:59:30,0.189,18.537,76.482,4.477,0.0,0.315,9095835648.0,0.0,66426691584.0,309063680.0,0.0,323198976.0
27-03 03:59:31,0.190,18.004,76.879,4.422,0.0,0.505,9888604160.0,0.0,65601970176.0,341016576.0,0.0,365432832.0
27-03 03:59:32,0.126,10.586,83.365,5.545,0.0,0.378,10039971840.0,0.0,65421230080.0,370388992.0,0.0,286081024.0
27-03 03:59:33,0.126,11.160,82.850,5.485,0.0,0.378,10163249152.0,0.0,65365819392.0,302522368.0,0.0,305139712.0
27-03 03:59:34,0.126,11.237,82.639,5.619,0.0,0.379,10222874624.0,0.0,65233321984.0,375394304.0,0.0,315883520.0
27-03 03:59:35,0.125,3.513,90.213,6.023,0.0,0.125,10212175872.0,0.0,65181638656.0,437776384.0,0.0,99897344.0
27-03 03:59:36,0.189,15.584,78.801,5.174,0.0,0.252,9436119040.0,0.0,65601265664.0,794206208.0,16384.0,168304640.0
27-03 03:59:37,0.126,10.139,84.320,5.290,0.0,0.126,9608167424.0,0.0,65878212608.0,345210880.0,0.0,132456448.0
27-03 03:59:38,0.189,3.277,90.359,5.986,0.0,0.189,9670201344.0,0.0,65870491648.0,290897920.0,0.0,101724160.0
27-03 03:59:39,0.126,3.832,89.950,5.967,0.0,0.126,9655275520.0,0.0,65825124352.0,351191040.0,0.0,104095744.0
27-03 03:59:40,0.125,5.270,88.519,5.834,0.0,0.251,9728905216.0,0.0,65824505856.0,278179840.0,0.0,148808704.0
27-03 03:59:41,0.126,4.657,89.239,5.853,0.0,0.126,9777823744.0,0.0,65732165632.0,321601536.0,0.0,128122880.0
27-03 03:59:42,0.188,4.708,89.014,5.964,0.0,0.126,9806249984.0,0.0,65731489792.0,293851136.0,0.0,134774784.0
27-03 03:59:43,0.126,4.903,88.875,5.971,0.0,0.126,9836122112.0,0.0,65686122496.0,309346304.0,0.0,130064384.0
27-03 03:59:44,0.126,3.019,90.692,6.038,0.0,0.126,9858875392.0,0.0,65685573632.0,287141888.0,0.0,90918912.0
27-03 03:59:45,0.126,6.423,87.469,5.793,0.0,0.189,9883459584.0,0.0,65640206336.0,307924992.0,0.0,178941952.0
27-03 03:59:46,0.063,6.360,87.531,5.856,0.0,0.189,9926864896.0,0.0,65587871744.0,316854272.0,0.0,177004544.0
27-03 03:59:47,0.126,8.496,85.337,5.727,0.0,0.315,9932902400.0,0.0,65547464704.0,351223808.0,0.0,240238592.0
27-03 03:59:48,0.126,7.794,86.109,5.783,0.0,0.189,9906466816.0,0.0,65546887168.0,378236928.0,0.0,222834688.0
27-03 03:59:49,0.126,7.915,85.992,5.716,0.0,0.251,9950932992.0,0.0,65517101056.0,363556864.0,0.0,220614656.0
27-03 03:59:50,0.189,14.421,79.912,5.164,0.0,0.315,9103683584.0,0.0,65621479424.0,1106427904.0,16384.0,244596736.0
27-03 03:59:51,0.189,18.612,75.521,5.237,0.0,0.442,9904635904.0,0.0,65610387456.0,316567552.0,0.0,354739712.0
27-03 03:59:52,0.126,20.314,73.962,5.157,0.0,0.440,10790932480.0,0.0,64759709696.0,280948736.0,0.0,354705408.0
27-03 03:59:53,0.189,15.753,78.009,5.545,0.0,0.504,11028942848.0,0.0,64266407936.0,536240128.0,0.0,305250304.0
27-03 03:59:54,0.127,11.954,82.226,5.440,0.0,0.253,11217518592.0,0.0,64266653696.0,347418624.0,0.0,332369920.0
27-03 03:59:55,0.126,12.492,81.514,5.489,0.0,0.379,11351728128.0,0.0,64177115136.0,302747648.0,0.0,342585344.0
27-03 03:59:56,0.190,18.343,76.218,4.997,0.0,0.253,10206261248.0,0.0,64679038976.0,946290688.0,16384.0,203407360.0
27-03 03:59:57,0.253,15.919,77.827,5.559,0.0,0.442,10382184448.0,0.0,65173483520.0,275922944.0,0.0,280653824.0
27-03 03:59:58,0.189,7.862,85.912,5.723,0.0,0.314,10458746880.0,0.0,65102385152.0,270458880.0,0.0,216412160.0
27-03 03:59:59,0.189,9.617,84.098,5.657,0.0,0.440,10589294592.0,0.0,64939417600.0,302878720.0,0.0,268578816.0
27-03 04:00:00,0.315,10.460,83.113,5.608,0.0,0.504,10718535680.0,0.0,64816947200.0,296108032.0,0.0,283639808.0
27-03 04:00:01,0.127,22.926,71.121,4.877,0.0,0.950,10882478080.0,0.0,64563585024.0,385527808.0,0.0,624078848.0
27-03 04:00:02,0.567,19.018,74.748,5.164,0.0,0.504,10926624768.0,0.0,64517271552.0,387694592.0,0.0,507867136.0
27-03 04:00:03,0.190,15.360,78.824,5.310,0.0,0.316,10912337920.0,0.0,64451375104.0,467877888.0,0.0,433827840.0
27-03 04:00:04,0.190,23.704,71.113,4.614,0.0,0.379,10172690432.0,0.0,64766455808.0,892444672.0,16384.0,475844608.0
27-03 04:00:05,0.126,18.497,75.568,5.492,0.0,0.316,9965686784.0,0.0,65520336896.0,345567232.0,0.0,357904384.0
27-03 04:00:06,0.190,18.020,76.142,5.140,0.0,0.508,9971695616.0,0.0,65555636224.0,304259072.0,0.0,448593920.0
27-03 04:00:07,0.126,19.033,75.314,5.025,0.0,0.503,10221989888.0,0.0,65321439232.0,288161792.0,0.0,503721984.0
27-03 04:00:08,0.191,34.011,61.157,3.878,0.0,0.763,9485254656.0,0.0,65566183424.0,780152832.0,16384.0,724365312.0
27-03 04:00:09,0.189,21.816,73.077,4.351,0.0,0.567,9504489472.0,0.0,65958653952.0,368447488.0,0.0,452075520.0
27-03 04:00:10,0.191,18.945,75.842,4.577,0.0,0.445,9577324544.0,0.0,65918771200.0,335495168.0,0.0,485429248.0
27-03 04:00:11,0.128,19.324,74.872,4.974,0.0,0.702,9805365248.0,0.0,65689538560.0,336687104.0,0.0,555773440.0
27-03 04:00:12,0.190,33.756,61.368,3.990,0.0,0.697,9060880384.0,0.0,65687117824.0,1083592704.0,28672.0,764272640.0
27-03 04:00:13,0.127,27.802,66.624,4.877,0.0,0.570,8876556288.0,0.0,66362859520.0,592175104.0,0.0,630296576.0
27-03 04:00:14,0.190,25.411,68.900,4.741,0.0,0.759,9000009728.0,0.0,66477772800.0,353808384.0,0.0,683491328.0
27-03 04:00:15,0.191,29.307,65.671,4.323,0.0,0.509,8108175360.0,0.0,66484400128.0,1239015424.0,16384.0,652955648.0
27-03 04:00:16,0.189,22.733,71.788,4.849,0.0,0.441,8009150464.0,0.0,67129331712.0,693108736.0,0.0,494440448.0
27-03 04:00:17,0.127,17.089,77.468,4.937,0.0,0.380,8214732800.0,0.0,67156840448.0,460017664.0,0.0,477241344.0
27-03 04:00:18,0.190,11.266,82.848,5.380,0.0,0.316,8352673792.0,0.0,67060133888.0,418783232.0,0.0,326578176.0
27-03 04:00:19,0.126,11.791,82.472,5.359,0.0,0.252,8444145664.0,0.0,66946994176.0,440451072.0,0.0,325816320.0
27-03 04:00:20,0.188,15.288,78.822,5.263,0.0,0.439,8138174464.0,0.0,67387158528.0,306257920.0,24576.0,169058304.0
27-03 04:00:21,0.126,14.124,79.887,5.675,0.0,0.189,8687673344.0,0.0,66702884864.0,441032704.0,0.0,231542784.0
27-03 04:00:22,0.125,4.580,89.147,5.960,0.0,0.188,8761950208.0,0.0,66703695872.0,365944832.0,0.0,127344640.0
27-03 04:00:23,0.188,4.391,89.272,6.023,0.0,0.125,8835067904.0,0.0,66703695872.0,292827136.0,0.0,129167360.0
27-03 04:00:24,0.126,5.346,88.553,5.912,0.0,0.063,8900464640.0,0.0,66609594368.0,321531904.0,0.0,145625088.0
27-03 04:00:25,0.126,6.160,87.618,5.908,0.0,0.189,8987602944.0,0.0,66561789952.0,282198016.0,0.0,176746496.0
27-03 04:00:26,0.189,5.280,88.624,5.845,0.0,0.063,9038737408.0,0.0,66468065280.0,324788224.0,0.0,146354176.0
27-03 04:00:27,0.126,4.463,89.315,5.971,0.0,0.126,9000906752.0,0.0,66421026816.0,409657344.0,0.0,125816832.0
27-03 04:00:28,0.126,6.864,87.091,5.856,0.0,0.063,9103712256.0,0.0,66420113408.0,307765248.0,0.0,194899968.0
27-03 04:00:29,0.125,4.015,89.711,6.023,0.0,0.125,8987934720.0,0.0,66387836928.0,455819264.0,0.0,112549888.0
27-03 04:00:30,0.188,11.558,82.852,5.214,0.0,0.188,8171622400.0,0.0,66519855104.0,1140113408.0,16384.0,164945920.0
27-03 04:00:31,0.189,10.579,83.060,5.982,0.0,0.189,8316911616.0,0.0,67169099776.0,345579520.0,0.0,133341184.0
27-03 04:00:32,0.126,8.726,85.060,5.712,0.0,0.377,8418275328.0,0.0,67106553856.0,306761728.0,0.0,236158976.0
27-03 04:00:33,0.188,5.709,88.143,5.897,0.0,0.063,8497176576.0,0.0,67052400640.0,282013696.0,0.0,165703680.0
27-03 04:00:34,0.126,7.760,86.246,5.741,0.0,0.126,8570376192.0,0.0,66944548864.0,316665856.0,0.0,204820480.0
27-03 04:00:35,0.125,3.764,90.025,6.023,0.0,0.063,8623271936.0,0.0,66896199680.0,312119296.0,0.0,108003328.0
27-03 04:00:36,0.188,6.019,87.774,5.893,0.0,0.125,8702328832.0,0.0,66798571520.0,330690560.0,0.0,159211520.0
27-03 04:00:37,0.125,8.595,85.445,5.709,0.0,0.125,8808783872.0,0.0,66686599168.0,336207872.0,0.0,228741120.0
27-03 04:00:38,0.126,7.872,86.146,5.730,0.0,0.126,8914329600.0,0.0,66581921792.0,335339520.0,0.0,221995008.0
27-03 04:00:39,0.126,8.775,85.038,5.808,0.0,0.253,9029189632.0,0.0,66462720000.0,339681280.0,0.0,249536512.0
27-03 04:00:40,0.189,22.264,72.264,4.843,0.0,0.440,8856932352.0,0.0,66667130880.0,307527680.0,28672.0,352423936.0
27-03 04:00:41,0.189,16.499,78.715,4.093,0.0,0.504,8674353152.0,0.0,66173472768.0,983764992.0,0.0,292389888.0
27-03 04:00:42,0.126,6.822,87.050,5.812,0.0,0.190,8786173952.0,0.0,66174291968.0,871124992.0,0.0,198701056.0
27-03 04:00:43,0.126,7.174,86.784,5.790,0.0,0.126,8899547136.0,0.0,66174291968.0,757751808.0,0.0,201961472.0
27-03 04:00:44,0.127,9.051,84.873,5.696,0.0,0.253,9054978048.0,0.0,66174291968.0,602320896.0,0.0,265334784.0
27-03 04:00:45,0.126,6.918,86.981,5.849,0.0,0.126,9157656576.0,0.0,66174291968.0,499642368.0,0.0,194969600.0
27-03 04:00:46,0.188,14.196,80.214,5.151,0.0,0.251,8611794944.0,0.0,66680254464.0,539541504.0,4096.0,169013248.0
27-03 04:00:47,0.126,8.731,84.925,6.030,0.0,0.188,9036451840.0,0.0,66464411648.0,330727424.0,0.0,104628224.0
27-03 04:00:48,0.189,6.692,87.184,5.808,0.0,0.126,9126137856.0,0.0,66402349056.0,303104000.0,0.0,191725568.0
27-03 04:00:49,0.126,4.991,88.882,5.938,0.0,0.063,9194774528.0,0.0,66339516416.0,297299968.0,0.0,150581248.0
27-03 04:00:50,0.126,6.478,87.358,5.912,0.0,0.126,9277501440.0,0.0,66276937728.0,277151744.0,0.0,177577984.0
27-03 04:00:51,0.126,17.350,76.845,5.174,0.0,0.505,9439326208.0,0.0,66082140160.0,310124544.0,0.0,485027840.0
27-03 04:00:52,0.190,19.607,74.746,5.076,0.0,0.381,9489076224.0,0.0,66002178048.0,340336640.0,0.0,557580288.0
27-03 04:00:53,0.126,17.643,76.938,4.978,0.0,0.315,8781443072.0,0.0,66099949568.0,950198272.0,36864.0,311132160.0
27-03 04:00:54,0.190,20.849,74.842,3.802,0.0,0.317,8450011136.0,0.0,66728443904.0,653135872.0,0.0,423665664.0
27-03 04:00:55,0.127,12.690,81.282,5.520,0.0,0.381,8505962496.0,0.0,66821533696.0,504094720.0,0.0,352436224.0
27-03 04:00:56,0.189,14.836,79.545,5.177,0.0,0.253,8640753664.0,0.0,66797477888.0,393359360.0,0.0,412119040.0
27-03 04:00:57,0.254,24.731,70.070,4.566,0.0,0.380,8006832128.0,0.0,66761912320.0,1062846464.0,16384.0,529027072.0
27-03 04:00:58,0.253,30.196,64.687,4.422,0.0,0.442,8344997888.0,0.0,66573484032.0,913108992.0,0.0,668479488.0
27-03 04:00:59,0.127,21.714,73.079,4.635,0.0,0.444,8438583296.0,0.0,66807668736.0,585338880.0,0.0,591458304.0
27-03 04:01:00,0.252,23.756,70.888,4.663,0.0,0.441,7776464896.0,0.0,66976665600.0,1078460416.0,16384.0,478228480.0
27-03 04:01:01,0.189,20.492,73.897,5.044,0.0,0.378,8099692544.0,0.0,67419414528.0,312483840.0,0.0,424816640.0
27-03 04:01:02,0.380,16.835,76.582,5.759,0.0,0.443,8231706624.0,0.0,67300777984.0,299106304.0,184320.0,450203648.0
27-03 04:01:03,0.127,18.972,75.317,5.076,0.0,0.508,8457289728.0,0.0,67097366528.0,276934656.0,0.0,534470656.0
27-03 04:01:04,0.190,25.774,69.172,4.359,0.0,0.505,7891992576.0,0.0,67285016576.0,654581760.0,28672.0,559243264.0
27-03 04:01:05,0.190,28.246,66.371,4.687,0.0,0.507,7708475392.0,0.0,67740147712.0,382967808.0,0.0,665661440.0
27-03 04:01:06,0.127,23.794,70.749,4.759,0.0,0.571,7797161984.0,0.0,67584667648.0,449761280.0,0.0,667160576.0
27-03 04:01:07,0.190,27.693,67.871,3.676,0.0,0.570,6685159424.0,0.0,68153430016.0,993001472.0,24576.0,543313920.0
27-03 04:01:08,0.127,14.051,80.190,5.316,0.0,0.316,6894510080.0,0.0,68155314176.0,781766656.0,0.0,391471104.0
27-03 04:01:09,0.190,14.566,79.607,5.320,0.0,0.317,7101120512.0,0.0,68145778688.0,584691712.0,0.0,419160064.0
27-03 04:01:10,0.063,11.210,83.027,5.510,0.0,0.190,7242244096.0,0.0,68085055488.0,504291328.0,0.0,320073728.0
27-03 04:01:11,0.126,17.246,77.195,5.117,0.0,0.316,7372718080.0,0.0,68090822656.0,368050176.0,4096.0,259226624.0
27-03 04:01:12,0.189,14.088,80.189,5.283,0.0,0.252,8138579968.0,0.0,67394105344.0,298905600.0,0.0,239521792.0
27-03 04:01:13,0.126,6.364,87.587,5.734,0.0,0.189,8234201088.0,0.0,67298746368.0,298643456.0,0.0,183824384.0
27-03 04:01:14,0.125,2.632,91.165,6.015,0.0,0.063,8267517952.0,0.0,67250724864.0,313348096.0,0.0,70025216.0
27-03 04:01:15,0.251,5.712,87.947,5.901,0.0,0.188,8346177536.0,0.0,67170410496.0,315002880.0,0.0,152838144.0
27-03 04:01:16,0.125,3.757,90.044,6.011,0.0,0.063,8389545984.0,0.0,67123277824.0,318767104.0,8192.0,95469568.0
27-03 04:01:17,0.252,16.866,77.785,4.846,0.0,0.252,8224714752.0,0.0,67327815680.0,279060480.0,8192.0,152186880.0
27-03 04:01:18,0.188,6.470,87.312,5.967,0.0,0.063,8498900992.0,0.0,66999455744.0,333234176.0,0.0,108703744.0
27-03 04:01:19,0.126,5.594,88.246,5.908,0.0,0.126,8576106496.0,0.0,66951856128.0,303628288.0,0.0,150593536.0
27-03 04:01:20,0.125,2.880,90.795,6.074,0.0,0.125,8612450304.0,0.0,66918678528.0,300462080.0,0.0,79851520.0
27-03 04:01:21,0.125,5.395,88.394,5.960,0.0,0.125,8690507776.0,0.0,66871209984.0,269873152.0,0.0,155983872.0
27-03 04:01:22,0.125,4.005,89.800,6.008,0.0,0.063,8717721600.0,0.0,66824081408.0,289787904.0,0.0,100610048.0
27-03 04:01:23,0.188,3.890,89.962,5.897,0.0,0.063,8764870656.0,0.0,66776883200.0,289837056.0,0.0,109572096.0
27-03 04:01:24,0.126,6.160,87.681,5.845,0.0,0.189,8836542464.0,0.0,66689638400.0,305410048.0,0.0,167309312.0
27-03 04:01:25,0.126,6.057,87.823,5.868,0.0,0.126,8913965056.0,0.0,66607251456.0,310374400.0,0.0,173817856.0
27-03 04:01:26,0.126,9.503,84.581,5.538,0.0,0.252,8930983936.0,0.0,66528747520.0,371859456.0,0.0,260501504.0
27-03 04:01:27,0.126,8.333,85.606,5.745,0.0,0.189,9027391488.0,0.0,66481516544.0,322682880.0,0.0,239865856.0
27-03 04:01:28,0.126,6.842,87.068,5.775,0.0,0.188,9056546816.0,0.0,66415005696.0,360038400.0,0.0,190476288.0
27-03 04:01:29,0.126,14.628,79.697,5.233,0.0,0.315,8685510656.0,0.0,66794934272.0,351145984.0,16384.0,216621056.0
27-03 04:01:30,0.188,12.241,81.544,5.712,0.0,0.314,8257179648.0,0.0,67185999872.0,388411392.0,0.0,228540416.0
27-03 04:01:31,0.126,6.608,87.351,5.853,0.0,0.063,8363958272.0,0.0,67177238528.0,290394112.0,0.0,191221760.0
27-03 04:01:32,0.189,10.390,83.627,5.479,0.0,0.315,8486653952.0,0.0,67012567040.0,332369920.0,0.0,282415104.0
27-03 04:01:33,0.126,10.239,83.794,5.653,0.0,0.188,8604041216.0,0.0,66879393792.0,348155904.0,0.0,275431424.0
27-03 04:01:34,0.188,7.654,86.261,5.709,0.0,0.188,8596774912.0,0.0,66827780096.0,407035904.0,0.0,204201984.0
27-03 04:01:35,0.126,15.278,79.230,5.177,0.0,0.189,8007094272.0,0.0,67097419776.0,727076864.0,16384.0,252764160.0
27-03 04:01:36,0.126,12.161,81.979,5.419,0.0,0.315,7566893056.0,0.0,67341213696.0,923484160.0,0.0,234602496.0
27-03 04:01:37,0.190,7.644,86.355,5.749,0.0,0.063,7673470976.0,0.0,67317805056.0,840314880.0,0.0,222445568.0
27-03 04:01:38,0.126,7.731,86.172,5.783,0.0,0.189,7768719360.0,0.0,67277086720.0,785784832.0,0.0,213315584.0
27-03 04:01:39,0.189,5.412,88.357,5.916,0.0,0.126,7857917952.0,0.0,67276255232.0,697417728.0,0.0,155676672.0
27-03 04:01:40,0.189,10.732,83.333,5.492,0.0,0.253,7995588608.0,0.0,67228045312.0,607956992.0,0.0,310751232.0
27-03 04:01:41,0.189,10.101,83.902,5.619,0.0,0.189,8146063360.0,0.0,67211866112.0,473661440.0,0.0,286570496.0
27-03 04:01:42,0.190,24.747,69.873,4.684,0.0,0.506,8132186112.0,0.0,67401220096.0,298184704.0,32768.0,458593280.0
27-03 04:01:43,0.190,29.304,65.380,4.684,0.0,0.443,8905097216.0,0.0,66613723136.0,312770560.0,0.0,608052224.0
27-03 04:01:44,0.190,12.129,81.870,5.496,0.0,0.316,8990937088.0,0.0,66534010880.0,306642944.0,0.0,294268928.0
27-03 04:01:45,0.190,21.618,73.198,4.551,0.0,0.442,8312320000.0,0.0,67031015424.0,488255488.0,32768.0,294277120.0
27-03 04:01:46,0.190,12.382,81.491,5.559,0.0,0.379,8399577088.0,0.0,67070918656.0,361095168.0,0.0,314654720.0
27-03 04:01:47,0.127,13.228,80.696,5.506,0.0,0.443,8579362816.0,0.0,66879832064.0,372396032.0,0.0,370696192.0
27-03 04:01:48,0.190,9.829,84.211,5.580,0.0,0.190,8642945024.0,0.0,66795933696.0,392712192.0,0.0,283811840.0
27-03 04:01:49,0.189,24.164,70.410,4.732,0.0,0.505,8894562304.0,0.0,66527694848.0,409333760.0,0.0,664629248.0
27-03 04:01:50,0.191,27.400,67.578,4.323,0.0,0.509,8390148096.0,0.0,66389626880.0,1051815936.0,16384.0,666927104.0
27-03 04:01:51,0.189,23.596,70.536,5.174,0.0,0.505,8012709888.0,0.0,67054452736.0,764428288.0,0.0,512937984.0
27-03 04:01:52,0.189,12.343,81.612,5.605,0.0,0.252,7934803968.0,0.0,67282321408.0,614465536.0,0.0,309907456.0
27-03 04:01:53,0.189,14.556,79.773,5.167,0.0,0.315,7368097792.0,0.0,67336425472.0,1127067648.0,24576.0,304648192.0
27-03 04:01:54,0.189,17.580,76.623,5.293,0.0,0.315,7099723776.0,0.0,67704242176.0,1027624960.0,0.0,352907264.0
27-03 04:01:55,0.189,10.795,83.270,5.619,0.0,0.126,7261401088.0,0.0,67671707648.0,898482176.0,0.0,311730176.0
27-03 04:01:56,0.190,20.519,73.844,5.003,0.0,0.443,7485120512.0,0.0,67538644992.0,807825408.0,0.0,587776000.0
27-03 04:01:57,0.191,27.944,67.027,4.328,0.0,0.509,7205171200.0,0.0,67527208960.0,1099210752.0,16384.0,688230400.0
27-03 04:01:58,0.253,24.651,70.659,3.929,0.0,0.507,7031922688.0,0.0,68210151424.0,589516800.0,0.0,560971776.0
27-03 04:01:59,0.126,23.945,70.636,4.663,0.0,0.630,6418972672.0,0.0,68513751040.0,898867200.0,20480.0,477741056.0
27-03 04:02:00,0.316,25.174,69.260,4.870,0.0,0.380,7538475008.0,0.0,68009238528.0,283877376.0,0.0,523542528.0
27-03 04:02:01,0.190,18.314,76.172,5.070,0.0,0.253,8057090048.0,0.0,67474796544.0,299704320.0,0.0,424194048.0
27-03 04:02:02,0.126,13.241,81.021,5.233,0.0,0.378,8252506112.0,0.0,67274526720.0,304558080.0,0.0,361467904.0
27-03 04:02:03,0.190,21.695,72.739,5.060,0.0,0.316,7968231424.0,0.0,67566829568.0,296529920.0,16384.0,330137600.0
27-03 04:02:04,0.122,16.901,77.159,5.450,0.0,0.367,8587177984.0,0.0,66886524928.0,357888000.0,16384.0,338485248.0
27-03 04:02:05,0.195,12.549,81.599,5.397,0.0,0.260,8757342208.0,0.0,66792665088.0,281583616.0,0.0,334200832.0
27-03 04:02:06,0.126,5.461,88.324,5.964,0.0,0.126,8790667264.0,0.0,66746056704.0,294866944.0,0.0,157257728.0
27-03 04:02:07,0.125,5.016,88.840,5.893,0.0,0.125,8806031360.0,0.0,66665103360.0,360456192.0,4096.0,134803456.0
27-03 04:02:08,0.125,3.131,90.670,6.074,0.0,0.0,8838823936.0,0.0,66648281088.0,344485888.0,0.0,86228992.0
27-03 04:02:09,0.125,3.509,90.288,6.015,0.0,0.063,8828153856.0,0.0,66614341632.0,389095424.0,0.0,96043008.0
27-03 04:02:10,0.189,4.594,89.301,5.853,0.0,0.063,8856813568.0,0.0,66564304896.0,410472448.0,0.0,130433024.0
27-03 04:02:11,0.063,4.008,89.793,6.011,0.0,0.125,8870748160.0,0.0,66506678272.0,454164480.0,0.0,106076160.0
27-03 04:02:12,0.188,4.386,89.474,5.952,0.0,0.0,8886792192.0,0.0,66466918400.0,477880320.0,0.0,117960704.0
27-03 04:02:13,0.125,2.572,91.217,6.023,0.0,0.063,8893362176.0,0.0,66446262272.0,491966464.0,0.0,73363456.0
27-03 04:02:14,0.125,2.760,91.029,6.085,0.0,0.0,8904474624.0,0.0,66424025088.0,503091200.0,0.0,77074432.0
