"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","zfs_jbod_00",,,,"User:","root"
"Cmdline:","dstat -tcmdD total --output dstat_100g_copy_vector_on.output",,,,"Date:","27 Mar 2019 04:14:11 EDT"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",
27-03 04:14:41,0.126,3.839,89.931,6.042,0.0,0.063,8155070464.0,0.0,67269054464.0,407465984.0,0.0,134701056.0
27-03 04:14:42,0.189,13.123,80.946,5.552,0.0,0.189,7899746304.0,0.0,67653484544.0,278360064.0,16384.0,136093696.0
27-03 04:14:43,0.126,7.475,86.244,6.030,0.0,0.126,8241369088.0,0.0,67210571776.0,379650048.0,0.0,117139968.0
27-03 04:14:44,0.126,3.457,90.195,6.034,0.0,0.189,8313458688.0,0.0,67210469376.0,307662848.0,0.0,123215872.0
27-03 04:14:45,0.189,2.514,91.201,6.097,0.0,0.0,8348737536.0,0.0,67171561472.0,311291904.0,0.0,91144192.0
27-03 04:14:46,0.125,3.312,90.375,6.062,0.0,0.125,8386035712.0,0.0,67138650112.0,306905088.0,0.0,102195200.0
27-03 04:14:47,0.125,3.009,90.784,6.019,0.0,0.063,8424845312.0,0.0,67090055168.0,316690432.0,0.0,92364800.0
27-03 04:14:48,0.126,2.704,91.069,6.038,0.0,0.063,8467484672.0,0.0,67042115584.0,321990656.0,0.0,98893824.0
27-03 04:14:49,0.126,3.455,90.327,6.030,0.0,0.063,8511217664.0,0.0,66993397760.0,326975488.0,0.0,118325248.0
27-03 04:14:50,0.188,4.018,89.705,5.964,0.0,0.126,8563736576.0,0.0,66960732160.0,307122176.0,0.0,136826880.0
27-03 04:14:51,0.126,5.875,87.871,5.875,0.0,0.253,8649502720.0,0.0,66838634496.0,343453696.0,0.0,209661952.0
27-03 04:14:52,0.126,7.165,86.612,5.845,0.0,0.251,8734343168.0,0.0,66682454016.0,414793728.0,0.0,238301184.0
27-03 04:14:53,0.190,8.718,85.281,5.622,0.0,0.190,8817614848.0,0.0,66554810368.0,459165696.0,0.0,291332096.0
27-03 04:14:54,0.126,15.803,78.635,5.183,0.0,0.253,8579547136.0,0.0,66917711872.0,334331904.0,16384.0,254447616.0
27-03 04:14:55,0.063,13.485,80.781,5.482,0.0,0.189,8368123904.0,0.0,67146174464.0,317292544.0,0.0,304902144.0
27-03 04:14:56,0.126,7.896,86.039,5.685,0.0,0.253,8484986880.0,0.0,67034517504.0,312086528.0,0.0,276881408.0
27-03 04:14:57,0.126,8.050,85.975,5.597,0.0,0.252,8526192640.0,0.0,66999070720.0,306327552.0,0.0,272363520.0
27-03 04:14:58,0.126,7.206,86.726,5.752,0.0,0.190,8636121088.0,0.0,66918752256.0,276717568.0,0.0,256438272.0
27-03 04:14:59,0.126,13.711,81.069,4.906,0.0,0.189,7785832448.0,0.0,66975780864.0,1069977600.0,24576.0,263229440.0
27-03 04:15:00,0.252,13.971,81.246,4.279,0.0,0.252,8069980160.0,0.0,67468935168.0,292675584.0,0.0,262971392.0
27-03 04:15:01,0.188,6.219,87.500,5.842,0.0,0.251,8162279424.0,0.0,67389898752.0,279412736.0,0.0,207843328.0
27-03 04:15:02,0.126,6.112,87.776,5.860,0.0,0.126,8247324672.0,0.0,67271475200.0,312791040.0,0.0,205721600.0
27-03 04:15:03,0.188,7.152,86.637,5.834,0.0,0.188,8349065216.0,0.0,67114397696.0,368128000.0,0.0,233799680.0
27-03 04:15:04,0.127,6.958,86.970,5.756,0.0,0.190,8461619200.0,0.0,66979819520.0,390152192.0,0.0,246784000.0
27-03 04:15:05,0.127,15.536,78.630,5.263,0.0,0.444,8687988736.0,0.0,66729201664.0,414400512.0,0.0,526614528.0
27-03 04:15:06,0.318,27.562,67.600,4.074,0.0,0.446,8456192000.0,0.0,66777579520.0,597819392.0,16384.0,601096192.0
27-03 04:15:07,0.252,15.647,78.423,5.300,0.0,0.379,8124596224.0,0.0,67049549824.0,657444864.0,0.0,423170048.0
27-03 04:15:08,0.189,8.449,85.561,5.612,0.0,0.189,8273260544.0,0.0,67050123264.0,508207104.0,0.0,297385984.0
27-03 04:15:09,0.190,18.695,75.856,4.943,0.0,0.317,7461036032.0,0.0,67398082560.0,972472320.0,28672.0,368844800.0
27-03 04:15:10,0.126,10.176,83.731,5.716,0.0,0.251,7467442176.0,0.0,67571433472.0,792715264.0,0.0,276045824.0
27-03 04:15:11,0.189,10.221,83.659,5.615,0.0,0.315,7665221632.0,0.0,67571568640.0,594800640.0,0.0,349966336.0
27-03 04:15:12,0.127,16.572,77.862,5.060,0.0,0.380,7961653248.0,0.0,67475312640.0,394625024.0,0.0,559034368.0
27-03 04:15:13,0.190,22.370,72.243,4.689,0.0,0.507,7641022464.0,0.0,67295846400.0,894722048.0,12288.0,638427136.0
27-03 04:15:14,0.189,23.726,70.485,5.160,0.0,0.441,7636586496.0,0.0,67407134720.0,787869696.0,0.0,582045696.0
27-03 04:15:15,0.189,14.511,79.495,5.426,0.0,0.379,7591239680.0,0.0,67563266048.0,677085184.0,0.0,427515904.0
27-03 04:15:16,0.253,19.949,75.491,4.053,0.0,0.253,7012184064.0,0.0,67939188736.0,880218112.0,28672.0,369229824.0
27-03 04:15:17,0.189,10.622,83.658,5.343,0.0,0.189,7180640256.0,0.0,67927740416.0,723210240.0,0.0,356986880.0
27-03 04:15:18,0.126,14.591,79.434,5.346,0.0,0.503,7384801280.0,0.0,67837382656.0,609406976.0,0.0,501825536.0
27-03 04:15:19,0.127,24.586,70.127,4.586,0.0,0.573,7116173312.0,0.0,67897204736.0,818212864.0,16384.0,736313344.0
27-03 04:15:20,0.190,29.397,65.524,4.381,0.0,0.508,7831273472.0,0.0,67589054464.0,411262976.0,0.0,800526336.0
27-03 04:15:21,0.190,25.174,69.372,4.819,0.0,0.444,7542837248.0,0.0,67795472384.0,493281280.0,16384.0,550805504.0
27-03 04:15:22,0.127,24.035,70.145,5.123,0.0,0.569,7436517376.0,0.0,68108300288.0,286773248.0,0.0,659959808.0
27-03 04:15:23,0.189,9.698,84.257,5.668,0.0,0.189,7527649280.0,0.0,67987783680.0,316157952.0,0.0,326131712.0
27-03 04:15:24,0.126,14.205,80.177,5.177,0.0,0.316,6908518400.0,0.0,68069982208.0,853090304.0,28672.0,300675072.0
27-03 04:15:25,0.188,11.299,82.925,5.399,0.0,0.188,7034314752.0,0.0,68333834240.0,463441920.0,0.0,233627648.0
27-03 04:15:26,0.126,7.977,86.055,5.716,0.0,0.126,7166308352.0,0.0,68252155904.0,413126656.0,0.0,269078528.0
27-03 04:15:27,0.189,7.945,85.876,5.738,0.0,0.252,7225143296.0,0.0,68210991104.0,395456512.0,0.0,281714688.0
27-03 04:15:28,0.126,8.307,85.651,5.664,0.0,0.252,7283232768.0,0.0,68093743104.0,454615040.0,0.0,277331968.0
27-03 04:15:29,0.125,3.639,90.151,6.023,0.0,0.063,7339868160.0,0.0,68077207552.0,414515200.0,0.0,130310144.0
27-03 04:15:30,0.188,1.881,91.787,6.082,0.0,0.063,7337771008.0,0.0,68046835712.0,446984192.0,0.0,68501504.0
27-03 04:15:31,0.126,3.017,90.698,6.097,0.0,0.063,7364546560.0,0.0,68013723648.0,453320704.0,0.0,112259072.0
27-03 04:15:32,0.125,3.260,90.533,6.019,0.0,0.063,7383863296.0,0.0,67963293696.0,484433920.0,0.0,112865280.0
27-03 04:15:33,0.125,0.752,92.915,6.207,0.0,0.0,7389634560.0,0.0,67963293696.0,478662656.0,0.0,30961664.0
27-03 04:15:34,0.188,11.327,82.603,5.632,0.0,0.250,6387965952.0,0.0,68115050496.0,1328574464.0,16384.0,117592064.0
27-03 04:15:35,0.126,2.197,91.525,6.089,0.0,0.063,6434783232.0,0.0,68114722816.0,1282084864.0,0.0,83251200.0
27-03 04:15:36,0.125,1.880,91.792,6.140,0.0,0.063,6476566528.0,0.0,68114722816.0,1240301568.0,0.0,69120000.0
27-03 04:15:37,0.126,3.139,90.709,6.026,0.0,0.0,6538231808.0,0.0,68114722816.0,1178636288.0,0.0,108347392.0
27-03 04:15:38,0.188,3.690,90.056,6.004,0.0,0.063,6608941056.0,0.0,68114722816.0,1107927040.0,0.0,121712640.0
27-03 04:15:39,0.126,4.471,89.295,5.982,0.0,0.126,6702325760.0,0.0,68114722816.0,1014542336.0,0.0,161476608.0
27-03 04:15:40,0.125,2.945,90.789,6.078,0.0,0.063,6754856960.0,0.0,68114722816.0,962011136.0,0.0,103694336.0
27-03 04:15:41,0.188,3.504,90.238,6.008,0.0,0.063,6820421632.0,0.0,68114722816.0,896446464.0,0.0,117985280.0
27-03 04:15:42,0.125,3.197,90.533,6.019,0.0,0.125,6876418048.0,0.0,68114722816.0,840450048.0,0.0,112640000.0
27-03 04:15:43,0.126,7.872,86.587,5.353,0.0,0.063,6494662656.0,0.0,68251410432.0,1085517824.0,8192.0,149026816.0
27-03 04:15:44,0.188,13.990,80.238,5.332,0.0,0.251,7555198976.0,0.0,67975680000.0,300711936.0,0.0,204648448.0
27-03 04:15:45,0.126,7.008,86.869,5.871,0.0,0.126,7706513408.0,0.0,67704279040.0,420798464.0,0.0,239718400.0
27-03 04:15:46,0.126,6.734,87.099,5.790,0.0,0.252,7833591808.0,0.0,67687784448.0,310214656.0,0.0,237547520.0
27-03 04:15:47,0.126,9.671,84.387,5.563,0.0,0.253,7893856256.0,0.0,67574214656.0,363520000.0,20480.0,334913536.0
27-03 04:15:48,0.189,15.123,79.269,5.167,0.0,0.252,7331897344.0,0.0,68105060352.0,394633216.0,0.0,194879488.0
27-03 04:15:49,0.126,7.377,86.633,5.738,0.0,0.126,7439269888.0,0.0,67990855680.0,401465344.0,0.0,267235328.0
27-03 04:15:50,0.125,7.335,86.520,5.768,0.0,0.251,7513792512.0,0.0,67797573632.0,520224768.0,0.0,243068928.0
27-03 04:15:51,0.188,6.968,86.880,5.775,0.0,0.188,7610884096.0,0.0,67749781504.0,470925312.0,0.0,238968832.0
27-03 04:15:52,0.126,6.038,87.862,5.912,0.0,0.063,7701856256.0,0.0,67633356800.0,496377856.0,0.0,196976640.0
27-03 04:15:53,0.126,7.057,86.830,5.797,0.0,0.189,7822688256.0,0.0,67516293120.0,492609536.0,0.0,239636480.0
27-03 04:15:54,0.126,5.916,88.043,5.790,0.0,0.126,7902916608.0,0.0,67428438016.0,500236288.0,0.0,208384000.0
27-03 04:15:55,0.190,15.171,80.215,4.172,0.0,0.253,7893434368.0,0.0,67604901888.0,333254656.0,16384.0,223203328.0
27-03 04:15:56,0.126,10.775,83.302,5.482,0.0,0.315,7968325632.0,0.0,67411918848.0,451346432.0,0.0,246915072.0
27-03 04:15:57,0.126,6.886,86.987,5.749,0.0,0.253,8079704064.0,0.0,67357200384.0,394686464.0,0.0,257007616.0
27-03 04:15:58,0.190,14.349,79.772,5.310,0.0,0.379,8015392768.0,0.0,67263160320.0,553037824.0,16384.0,505524224.0
27-03 04:15:59,0.191,24.920,69.662,4.780,0.0,0.446,7319228416.0,0.0,67767357440.0,745005056.0,4096.0,526417920.0
27-03 04:16:00,0.318,15.277,78.612,5.347,0.0,0.446,7524429824.0,0.0,67811844096.0,495316992.0,0.0,532312064.0
27-03 04:16:01,0.189,7.925,85.849,5.786,0.0,0.252,7641956352.0,0.0,67811844096.0,377790464.0,0.0,272211968.0
27-03 04:16:02,0.126,6.949,86.924,5.749,0.0,0.253,7706529792.0,0.0,67697311744.0,427749376.0,0.0,241623040.0
27-03 04:16:03,0.189,12.280,81.990,5.353,0.0,0.189,7378030592.0,0.0,67982254080.0,471306240.0,16384.0,228007936.0
27-03 04:16:04,0.126,9.629,84.393,5.727,0.0,0.126,7098101760.0,0.0,68365385728.0,368103424.0,0.0,219910144.0
27-03 04:16:05,0.189,5.157,88.742,5.786,0.0,0.126,7177445376.0,0.0,68333477888.0,320667648.0,0.0,179146752.0
27-03 04:16:06,0.126,6.805,87.083,5.734,0.0,0.252,7245959168.0,0.0,68215857152.0,369774592.0,0.0,234098688.0
27-03 04:16:07,0.126,6.801,87.217,5.668,0.0,0.189,7342546944.0,0.0,68100509696.0,388534272.0,0.0,238854144.0
27-03 04:16:08,0.127,20.759,73.797,4.684,0.0,0.633,7025131520.0,0.0,68134502400.0,671956992.0,32768.0,542040064.0
27-03 04:16:09,0.190,23.515,70.986,4.804,0.0,0.506,6824792064.0,0.0,68600168448.0,406630400.0,0.0,628391936.0
27-03 04:16:10,0.190,18.067,76.437,4.864,0.0,0.442,6329753600.0,0.0,68478955520.0,1022881792.0,16384.0,520101888.0
27-03 04:16:11,0.189,15.690,78.198,5.671,0.0,0.252,7218520064.0,0.0,68326117376.0,286953472.0,0.0,263168000.0
27-03 04:16:12,0.126,10.384,83.512,5.727,0.0,0.252,7518699520.0,0.0,68042600448.0,270290944.0,0.0,311992320.0
27-03 04:16:13,0.189,7.305,86.524,5.730,0.0,0.252,7650234368.0,0.0,67873161216.0,308195328.0,0.0,245364736.0
27-03 04:16:14,0.125,5.583,88.269,5.897,0.0,0.125,7737753600.0,0.0,67782717440.0,311119872.0,0.0,184352768.0
27-03 04:16:15,0.125,4.768,89.084,5.960,0.0,0.063,7817306112.0,0.0,67670790144.0,343494656.0,0.0,156958720.0
27-03 04:16:16,0.251,15.809,78.482,5.144,0.0,0.314,7541993472.0,0.0,67962982400.0,326615040.0,16384.0,268443648.0
27-03 04:16:17,0.064,21.770,72.438,5.220,0.0,0.509,7557767168.0,0.0,67810418688.0,463405056.0,0.0,617549824.0
27-03 04:16:18,0.127,21.465,72.930,4.904,0.0,0.573,7730888704.0,0.0,67643531264.0,457170944.0,28672.0,713781248.0
27-03 04:16:19,0.253,23.813,71.311,4.307,0.0,0.317,6977789952.0,0.0,68303568896.0,550232064.0,0.0,513433600.0
27-03 04:16:20,0.126,11.783,82.294,5.482,0.0,0.315,7149768704.0,0.0,68299943936.0,381878272.0,0.0,395378688.0
27-03 04:16:21,0.127,12.460,81.657,5.503,0.0,0.253,7335739392.0,0.0,68106797056.0,389054464.0,0.0,426901504.0
27-03 04:16:22,0.253,23.072,72.061,4.235,0.0,0.379,7020032000.0,0.0,68487229440.0,324329472.0,16384.0,473882624.0
27-03 04:16:23,0.126,8.885,85.822,5.041,0.0,0.126,7024971776.0,0.0,68510277632.0,296341504.0,0.0,278450176.0
27-03 04:16:24,0.126,8.707,85.237,5.678,0.0,0.252,7136256000.0,0.0,68277022720.0,418312192.0,0.0,291176448.0
27-03 04:16:25,0.126,7.202,86.671,5.812,0.0,0.190,7225548800.0,0.0,68188942336.0,417099776.0,0.0,250757120.0
27-03 04:16:26,0.189,13.233,80.970,5.356,0.0,0.252,6884151296.0,0.0,68422324224.0,525115392.0,28672.0,255918080.0
27-03 04:16:27,0.189,9.590,84.227,5.804,0.0,0.189,6682591232.0,0.0,68734226432.0,414773248.0,0.0,247775232.0
27-03 04:16:28,0.126,6.541,87.358,5.849,0.0,0.126,6807855104.0,0.0,68631375872.0,392359936.0,0.0,229769216.0
27-03 04:16:29,0.188,2.003,91.677,6.070,0.0,0.063,6840135680.0,0.0,68604686336.0,386768896.0,0.0,64499712.0
27-03 04:16:30,0.125,2.379,91.296,6.074,0.0,0.125,6877188096.0,0.0,68567875584.0,386527232.0,0.0,78516224.0
27-03 04:16:31,0.125,2.823,90.903,6.085,0.0,0.063,6927609856.0,0.0,68530278400.0,373702656.0,0.0,95965184.0
27-03 04:16:32,0.125,0.876,92.808,6.191,0.0,0.0,6941249536.0,0.0,68528078848.0,362262528.0,0.0,27754496.0
27-03 04:16:33,0.188,3.882,89.856,5.949,0.0,0.125,7004450816.0,0.0,68461576192.0,365563904.0,0.0,124907520.0
27-03 04:16:34,0.125,1.881,91.787,6.144,0.0,0.063,7030169600.0,0.0,68389474304.0,411947008.0,0.0,59265024.0
27-03 04:16:35,0.125,2.133,91.656,6.085,0.0,0.0,7049854976.0,0.0,68357681152.0,424054784.0,0.0,66736128.0
27-03 04:16:36,0.125,2.320,91.473,6.082,0.0,0.0,7086239744.0,0.0,68319948800.0,425402368.0,0.0,77893632.0
27-03 04:16:37,0.188,1.628,91.985,6.137,0.0,0.063,7102013440.0,0.0,68291129344.0,438448128.0,0.0,50466816.0
27-03 04:16:38,0.125,9.216,84.890,5.643,0.0,0.125,6979076096.0,0.0,68568936448.0,283578368.0,12288.0,95248384.0
27-03 04:16:39,0.188,8.035,86.629,5.148,0.0,0.0,7378493440.0,0.0,67976953856.0,476143616.0,0.0,115392512.0
27-03 04:16:40,0.125,1.377,92.303,6.133,0.0,0.063,7402545152.0,0.0,67976900608.0,452145152.0,0.0,45551616.0
27-03 04:16:41,0.188,3.515,90.207,6.026,0.0,0.063,7472324608.0,0.0,67977564160.0,381702144.0,0.0,125804544.0
27-03 04:16:42,0.125,2.320,91.473,6.082,0.0,0.0,7519809536.0,0.0,67977564160.0,334217216.0,0.0,76050432.0
27-03 04:16:43,0.125,1.191,92.476,6.144,0.0,0.063,7536979968.0,0.0,67977564160.0,317046784.0,0.0,41519104.0
27-03 04:16:44,0.188,3.002,90.682,6.066,0.0,0.063,7575945216.0,0.0,67944386560.0,311259136.0,0.0,96600064.0
27-03 04:16:45,0.125,3.379,90.300,6.070,0.0,0.125,7637397504.0,0.0,67871465472.0,322727936.0,0.0,106676224.0
27-03 04:16:46,0.188,1.626,92.058,6.129,0.0,0.0,7663697920.0,0.0,67853803520.0,314089472.0,0.0,50376704.0
27-03 04:16:47,0.125,0.815,92.794,6.203,0.0,0.063,7674638336.0,0.0,67845644288.0,311308288.0,0.0,31612928.0
27-03 04:16:48,0.126,4.843,88.994,5.912,0.0,0.126,7759003648.0,0.0,67746766848.0,325820416.0,0.0,166764544.0
27-03 04:16:49,0.126,3.829,89.956,6.026,0.0,0.063,7822753792.0,0.0,67657580544.0,351256576.0,0.0,125521920.0
27-03 04:16:50,0.188,14.232,80.063,5.392,0.0,0.125,7515148288.0,0.0,67978555392.0,337887232.0,16384.0,156463104.0
27-03 04:16:51,0.126,5.346,88.365,5.975,0.0,0.189,7544684544.0,0.0,67930923008.0,355983360.0,0.0,165511168.0
27-03 04:16:52,0.189,6.877,87.003,5.804,0.0,0.126,7663804416.0,0.0,67883360256.0,284426240.0,0.0,247128064.0
27-03 04:16:53,0.126,6.427,87.398,5.860,0.0,0.189,7752462336.0,0.0,67795804160.0,283324416.0,0.0,227119104.0
27-03 04:16:54,0.126,4.460,89.322,5.967,0.0,0.126,7742984192.0,0.0,67747151872.0,341454848.0,0.0,153886720.0
27-03 04:16:55,0.126,7.102,86.864,5.783,0.0,0.126,7835549696.0,0.0,67627786240.0,368254976.0,0.0,231833600.0
27-03 04:16:56,0.126,6.045,87.846,5.856,0.0,0.126,7919448064.0,0.0,67542065152.0,370077696.0,0.0,214982656.0
27-03 04:16:57,0.189,6.427,87.461,5.671,0.0,0.252,7574351872.0,0.0,67514167296.0,743071744.0,16384.0,156278784.0
27-03 04:16:58,0.126,11.405,82.546,5.797,0.0,0.126,7194116096.0,0.0,68080369664.0,557105152.0,0.0,168009728.0
27-03 04:16:59,0.189,3.143,90.509,6.034,0.0,0.126,7245152256.0,0.0,68081410048.0,505028608.0,0.0,116592640.0
27-03 04:17:00,0.251,4.523,89.259,5.905,0.0,0.063,7321804800.0,0.0,68081410048.0,428376064.0,0.0,154529792.0
27-03 04:17:01,0.125,5.016,88.840,5.893,0.0,0.125,7394889728.0,0.0,68018982912.0,417718272.0,0.0,175243264.0
27-03 04:17:02,0.189,4.723,89.043,5.982,0.0,0.063,7469371392.0,0.0,67954376704.0,407842816.0,0.0,170270720.0
27-03 04:17:03,0.125,3.513,90.213,6.023,0.0,0.125,7413555200.0,0.0,67928084480.0,489951232.0,0.0,122867712.0
27-03 04:17:04,0.126,5.286,88.546,5.916,0.0,0.126,7437217792.0,0.0,67907739648.0,486633472.0,0.0,181358592.0
27-03 04:17:05,0.126,3.897,89.881,5.971,0.0,0.126,7449423872.0,0.0,67871166464.0,511000576.0,0.0,131493888.0
27-03 04:17:06,0.189,9.767,84.499,5.419,0.0,0.126,7119179776.0,0.0,68129259520.0,583151616.0,20480.0,167591936.0
27-03 04:17:07,0.125,8.208,85.589,5.890,0.0,0.188,6905143296.0,0.0,68543590400.0,382857216.0,0.0,155885568.0
27-03 04:17:08,0.190,12.666,81.507,5.383,0.0,0.253,7132348416.0,0.0,68288139264.0,411103232.0,0.0,432062464.0
27-03 04:17:09,0.127,13.536,80.519,5.313,0.0,0.506,7385042944.0,0.0,68020953088.0,425594880.0,0.0,469880832.0
27-03 04:17:10,0.190,25.570,68.987,4.873,0.0,0.380,6943313920.0,0.0,68572794880.0,315482112.0,12288.0,568442880.0
27-03 04:17:11,0.126,9.761,84.131,5.730,0.0,0.252,6907248640.0,0.0,68565217280.0,359124992.0,0.0,291319808.0
27-03 04:17:12,0.126,6.049,87.902,5.860,0.0,0.063,6957400064.0,0.0,68456501248.0,417689600.0,0.0,207417344.0
27-03 04:17:13,0.125,5.455,88.401,5.893,0.0,0.125,6998142976.0,0.0,68403802112.0,429645824.0,0.0,171329536.0
27-03 04:17:14,0.189,12.469,81.675,5.542,0.0,0.126,6634053632.0,0.0,68905545728.0,291991552.0,28672.0,160718848.0
27-03 04:17:15,0.189,5.157,88.553,5.912,0.0,0.189,6707748864.0,0.0,68807671808.0,316170240.0,0.0,175554560.0
27-03 04:17:16,0.189,6.553,87.209,5.860,0.0,0.189,6812758016.0,0.0,68707815424.0,311017472.0,0.0,222425088.0
27-03 04:17:17,0.126,4.397,89.259,6.030,0.0,0.188,6875594752.0,0.0,68641861632.0,314134528.0,0.0,151085056.0
27-03 04:17:18,0.126,5.339,88.631,5.842,0.0,0.063,6945296384.0,0.0,68552011776.0,334282752.0,0.0,177524736.0
27-03 04:17:19,0.126,10.164,83.965,5.556,0.0,0.189,7025754112.0,0.0,68380303360.0,425533440.0,0.0,331653120.0
27-03 04:17:20,0.190,20.886,73.608,4.873,0.0,0.443,6771200000.0,0.0,68648398848.0,411992064.0,16384.0,534814720.0
27-03 04:17:21,0.191,20.343,75.715,3.306,0.0,0.445,6479724544.0,0.0,68888334336.0,463532032.0,0.0,588816384.0
27-03 04:17:22,0.190,19.406,75.284,4.867,0.0,0.253,5986349056.0,0.0,69251612672.0,593629184.0,28672.0,373473280.0
27-03 04:17:23,0.189,7.165,86.738,5.720,0.0,0.189,6134206464.0,0.0,69254303744.0,443080704.0,0.0,256856064.0
27-03 04:17:24,0.126,6.792,87.296,5.660,0.0,0.126,6258274304.0,0.0,69254303744.0,319012864.0,0.0,240795648.0
27-03 04:17:25,0.189,6.797,87.225,5.601,0.0,0.189,6341070848.0,0.0,69150920704.0,339599360.0,0.0,223158272.0
27-03 04:17:26,0.125,8.030,86.010,5.646,0.0,0.188,6420860928.0,0.0,69027667968.0,383062016.0,0.0,260800512.0
27-03 04:17:27,0.189,14.798,79.219,5.479,0.0,0.315,6045007872.0,0.0,69447110656.0,339472384.0,16384.0,243412992.0
27-03 04:17:28,0.126,8.081,85.795,5.808,0.0,0.189,6197350400.0,0.0,69272457216.0,361783296.0,0.0,271962112.0
